nome_fii;liq diaria;ultimo rend;yield;patrim liquido;valor patrim;rent mes;p/vp
ABCP11;1721;0,65;0,0088;1100000000,0;91,83;-0,006;0,79
AFCR11;957;1,3;0,0125;154900000,0;102,29;0,0105;1,01
AFHI11;28440;1,35;0,013600000000000001;173800000,0;97,24;-0,022099999999999998;1,1
AFOF11;1863;0,6;0,0128;70700000,0;102,32;-0,041299999999999996;0,87
AIEC11;1639;0,72;0,009000000000000001;488500000,0;101,24;-0,0308;0,79
ALMI11;51;0,0;0,0;249600000,0;2245,37;0,0227;0,42
ALZR11;7357;0,78;0,0067;642300000,0;108,46;0,0139;1,06
ANCR11B;1;0,0;0,0;1500000000,0;3411,21;0,0;1,03
APTO11;432;0,12;0,0115;39000000,0;9,72;0,021400000000000002;1,04
AQLL11;1;0,0;0,0;145500000,0;1481,39;0,0;0,34
ARCT11;38249;2,02;0,019;288400000,0;100,2;0,0165;1,05
ARFI11B;153;0,0;0,0;134500000,0;1179,65;0,0;0,94
ARRI11;2160;1,28;0,013000000000000001;106100000,0;93,55;0,0079;1,02
ATCR11;0;0,14;0,0;88500000,0;95,31;0,0;0,0
ATSA11;3;0,25;0,0018;156300000,0;89,23;0,0092;0,99
ATWN11;0;0,0;0,0;92900000,0;577,78;0,0;0,0
BARI11;7188;1,3;0,0127;474300000,0;102,35;0,0121;0,99
BBFI11B;156;23,91;0,0116;370800000,0;2852,02;0,034;0,67
BBFO11;3343;0,83;0,0105;343200000,0;85,71;0,0258;0,87
BBGO11;5361;0,4;0,0062;394400000,0;98,46;0,0197;0,87
BBIM11;0;0,25;0,0;50100000,0;48,44;0,0;0,0
BBPO11;12841;0,89;0,0104;1500000000,0;95,89;-0,0297;0,87
BBRC11;1234;0,97;0,0095;171800000,0;108,07;0,0363;0,9
BBVJ11;763;0,0;0,0060999999999999995;155000000,0;57,18;0,1996;1,1
BCFF11;39138;0,54;0,008100000000000001;2000000000,0;78,27;-0,015300000000000001;0,84
BCIA11;2470;0,74;0,0083;390200000,0;104,91;0,0482;0,8
BCRI11;7828;1,45;0,0118;665500000,0;106,34;0,0137;1,02
BICE11;24;67,59;0,0;10400000,0;937,54;0,0;1,07
BICR11;3;1,1;0,011200000000000002;49700000,0;99,31;0,023799999999999998;0,99
BIME11;7191;0,14;0,014499999999999999;55600000,0;9,51;0,063;1,03
BLCA11;2;0,2;0,0051;153300000,0;95,81;0,0155;1,02
BLCP11;216;0,5;0,0058;225900000,0;98,37;0,0058;0,88
BLMC11;16;1,2;0,0125;39200000,0;98,16;-0,009300000000000001;0,97
BLMG11;6128;0,8;0,009399999999999999;368400000,0;96,69;0,005600000000000001;0,87
BLMO11;4;14,13;0,0007000000000000001;111200000,0;29283,95;-0,0414;0,85
BLMR11;61122;0,08;0,0101;214100000,0;8,38;0,0337;0,88
BMII11;0;3,48;0,0;69600000,0;497,43;0,0;0,0
BMLC11;5190;0,74;0,008100000000000001;109100000,0;109,25;0,0143;0,86
BMLC11B;136;0,58;0,0060999999999999995;93800000,0;93,97;0,0079;1,02
BNFS11;249;1,43;0,012;69400000,0;99,17;-0,0007000000000000001;1,21
BPFF11;3436;0,65;0,01;351500000,0;78,25;0,0202;0,83
BPML11;175;0,2;0,0029;576700000,0;133,97;0,0109;0,5
BRCO11;12145;0,63;0,0062;1800000000,0;118,94;0,0473;0,84
