nome_fii;liq diaria;ultimo rend;yield;patrim liquido;valor patrim;rent mes;p/vp
ABCP11;1.721;R$ 0,65;0,88%;R$ 1,1 bi;R$ 91,83;-0,60%;0,79
AFCR11;957;R$ 1,30;1,25%;R$ 154,9 mi;R$ 102,29;1,05%;1,01
AFHI11;28.440;R$ 1,35;1,36%;R$ 173,8 mi;R$ 97,24;-2,21%;1,10
AFOF11;1.863;R$ 0,60;1,28%;R$ 70,7 mi;R$ 102,32;-4,13%;0,87
AIEC11;1.639;R$ 0,72;0,90%;R$ 488,5 mi;R$ 101,24;-3,08%;0,79
ALMI11;51;R$ 0,00;0,00%;R$ 249,6 mi;R$ 2.245,37;2,27%;0,42
ALZR11;7.357;R$ 0,78;0,67%;R$ 642,3 mi;R$ 108,46;1,39%;1,06
ANCR11B;1;N/A;N/A;R$ 1,5 bi;R$ 3.411,21;N/A;1,03
APTO11;432;R$ 0,12;1,15%;R$ 39 mi;R$ 9,72;2,14%;1,04
AQLL11;1;R$ 0,00;0,00%;R$ 145,5 mi;R$ 1.481,39;0,00%;0,34
ARCT11;38.249;R$ 2,02;1,90%;R$ 288,4 mi;R$ 100,20;1,65%;1,05
ARFI11B;153;R$ 0,00;N/A;R$ 134,5 mi;R$ 1.179,65;0,00%;0,94
ARRI11;2.160;R$ 1,28;1,30%;R$ 106,1 mi;R$ 93,55;0,79%;1,02
ATCR11;N/A;R$ 0,14;N/A;R$ 88,5 mi;R$ 95,31;0,00%;N/A
ATSA11;3;R$ 0,25;0,18%;R$ 156,3 mi;R$ 89,23;0,92%;0,99
ATWN11;N/A;N/A;N/A;R$ 92,9 mi;R$ 577,78;N/A;N/A
BARI11;7.188;R$ 1,30;1,27%;R$ 474,3 mi;R$ 102,35;1,21%;0,99
BBFI11B;156;R$ 23,91;1,16%;R$ 370,8 mi;R$ 2.852,02;3,40%;0,67
BBFO11;3.343;R$ 0,83;1,05%;R$ 343,2 mi;R$ 85,71;2,58%;0,87
BBGO11;5.361;R$ 0,40;0,62%;R$ 394,4 mi;R$ 98,46;1,97%;0,87
BBIM11;N/A;R$ 0,25;0,00%;R$ 50,1 mi;R$ 48,44;0,00%;N/A
BBPO11;12.841;R$ 0,89;1,04%;R$ 1,5 bi;R$ 95,89;-2,97%;0,87
BBRC11;1.234;R$ 0,97;0,95%;R$ 171,8 mi;R$ 108,07;3,63%;0,90
BBVJ11;763;R$ 0,00;0,61%;R$ 155 mi;R$ 57,18;19,96%;1,10
BCFF11;39.138;R$ 0,54;0,81%;R$ 2 bi;R$ 78,27;-1,53%;0,84
BCIA11;2.470;R$ 0,74;0,83%;R$ 390,2 mi;R$ 104,91;4,82%;0,80
BCRI11;7.828;R$ 1,45;1,18%;R$ 665,5 mi;R$ 106,34;1,37%;1,02
BICE11;24;R$ 67,59;0,00%;R$ 10,4 mi;R$ 937,54;0,00%;1,07
BICR11;3;R$ 1,10;1,12%;R$ 49,7 mi;R$ 99,31;2,38%;0,99
BIME11;7.191;R$ 0,14;1,45%;R$ 55,6 mi;R$ 9,51;6,30%;1,03
BLCA11;2;R$ 0,20;0,51%;R$ 153,3 mi;R$ 95,81;1,55%;1,02
BLCP11;216;R$ 0,50;0,58%;R$ 225,9 mi;R$ 98,37;0,58%;0,88
BLMC11;16;R$ 1,20;1,25%;R$ 39,2 mi;R$ 98,16;-0,93%;0,97
BLMG11;6.128;R$ 0,80;0,94%;R$ 368,4 mi;R$ 96,69;0,56%;0,87
BLMO11;4;R$ 14,13;0,07%;R$ 111,2 mi;R$ 29.283,95;-4,14%;0,85
BLMR11;61.122;R$ 0,08;1,01%;R$ 214,1 mi;R$ 8,38;3,37%;0,88
BMII11;N/A;R$ 3,48;0,00%;R$ 69,6 mi;R$ 497,43;0,00%;N/A
BMLC11;5.190;R$ 0,74;0,81%;R$ 109,1 mi;R$ 109,25;1,43%;0,86
BMLC11B;136;R$ 0,58;0,61%;R$ 93,8 mi;R$ 93,97;0,79%;1,02
BNFS11;249;R$ 1,43;1,20%;R$ 69,4 mi;R$ 99,17;-0,07%;1,21
BPFF11;3.436;R$ 0,65;1,00%;R$ 351,5 mi;R$ 78,25;2,02%;0,83
BPML11;175;R$ 0,20;0,29%;R$ 576,7 mi;R$ 133,97;1,09%;0,50
BRCO11;12.145;R$ 0,63;0,62%;R$ 1,8 bi;R$ 118,94;4,73%;0,84
BRCR11;29.971;R$ 0,50;0,74%;R$ 2,8 bi;R$ 104,82;-3,45%;0,64
BREV11;2;R$ 0,56;0,59%;R$ 106,2 mi;R$ 109,85;0,27%;0,86
BRHT11B;N/A;R$ 0,00;N/A;R$ 147,4 mi;R$ 80,01;N/A;N/A
BRIP11;1;N/A;N/A;R$ 168,4 mi;R$ 982,71;N/A;1,23
BRLA11;20.300;R$ 0,97;0,73%;R$ 285,3 mi;R$ 159,29;2,10%;0,94
BROL11;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BTAL11;5.161;R$ 0,83;0,85%;R$ 620,3 mi;R$ 103,68;-1,41%;0,94
BTCR11;11.350;R$ 1,28;1,33%;R$ 464,6 mi;R$ 96,59;0,58%;1,00
BTGM11;N/A;R$ 0,00;N/A;N/A;N/A;0,00%;N/A
BTLG11;32.378;R$ 0,72;0,71%;R$ 1,5 bi;R$ 98,82;-0,90%;1,04
BTRA11;7.897;R$ 0,94;0,92%;R$ 347,6 mi;R$ 103,32;0,69%;0,99
BTSG11;N/A;R$ 0,79;0,00%;R$ 103,3 mi;R$ 133,24;0,00%;N/A
BTWR11;282;R$ 0,50;0,41%;R$ 87,9 mi;R$ 108,64;-1,93%;0,97
BVAR11;N/A;R$ 5,50;0,00%;R$ 664 mi;R$ 1.061,41;0,00%;N/A
BZLI11;44.041;R$ 0,00;0,00%;R$ 431,1 mi;R$ 10,70;0,68%;1,37
CACR11;1.234;R$ 1,50;1,39%;R$ 156,2 mi;R$ 103,15;0,60%;1,03
CARE11;24.473;R$ 0,00;0,23%;R$ 291,7 mi;R$ 8,16;-2,41%;0,58
CBOP11;319;R$ 0,49;0,77%;R$ 126,4 mi;R$ 89,31;6,56%;0,70
CCRF11;9;R$ 0,79;1,26%;R$ 159,4 mi;R$ 101,38;2,33%;0,99
CEOC11;224;R$ 0,49;0,78%;R$ 164 mi;R$ 90,33;1,81%;0,69
CJCT11;1;R$ 0,00;0,61%;R$ 186 mi;R$ 64,82;19,96%;1,25
CNES11;16;R$ 0,09;0,27%;R$ 255,3 mi;R$ 86,57;5,98%;0,40
CORM11;43;R$ 1,31;0,88%;R$ 94,3 mi;R$ 92,71;-2,08%;0,98
CPFF11;8.002;R$ 0,60;0,85%;R$ 421,2 mi;R$ 77,28;-0,31%;0,90
CPTS11;73.246;R$ 1,08;1,15%;R$ 2,6 bi;R$ 93,39;-0,48%;1,00
CRFF11;3;R$ 0,57;0,87%;R$ 60,2 mi;R$ 87,24;-1,54%;0,75
CTXT11;97;R$ 0,09;0,39%;R$ 118,3 mi;R$ 40,76;-2,20%;0,52
CVBI11;17.315;R$ 1,50;1,48%;R$ 1 bi;R$ 99,83;-0,67%;1,02
CXAG11;1.781;R$ 0,75;0,96%;R$ 214,3 mi;R$ 102,48;1,62%;0,75
CXCE11B;580;R$ 0,34;0,89%;R$ 111 mi;R$ 64,83;-4,24%;0,60
CXCI11;251;R$ 0,75;0,80%;R$ 201 mi;R$ 97,68;0,80%;0,80
CXCO11;2.069;R$ 0,73;0,94%;R$ 376,3 mi;R$ 95,89;1,59%;0,80
CXRI11;983;R$ 0,53;0,83%;R$ 134,5 mi;R$ 85,36;-1,07%;0,74
CXTL11;1;R$ 0,48;0,16%;R$ 37,1 mi;R$ 691,32;-5,97%;0,41
CYCR11;161;R$ 1,35;1,36%;R$ 61,4 mi;R$ 96,12;0,56%;1,08
DEVA11;29.303;R$ 1,40;1,43%;R$ 1,4 bi;R$ 97,25;-1,18%;1,01
DMAC11;2.543;R$ 2,96;36,32%;R$ 778.257,9;R$ 4,99;4,85%;2,61
DOMC11;42;R$ 0,00;0,00%;R$ 271 mi;R$ 110,90;4,35%;3,96
DOVL11B;44;R$ 0,00;N/A;R$ 81,3 mi;R$ 1.223,62;N/A;0,76
DRIT11B;4;R$ 0,33;0,28%;R$ 58,1 mi;R$ 125,45;6,07%;0,64
DVFF11;713;R$ 0,70;1,07%;R$ 101,4 mi;R$ 92,13;-3,09%;0,77
EDFO11B;30;R$ 1,49;0,73%;R$ 45,3 mi;R$ 191,85;-1,14%;1,06
EDGA11;1.891;R$ 0,14;0,71%;R$ 252,4 mi;R$ 66,20;1,12%;0,29
EGYR11;4.022;N/A;N/A;R$ 93,5 mi;R$ 12,47;N/A;0,14
ELDO11B;N/A;R$ 0,52;0,00%;R$ 1,1 bi;R$ 1.342,97;0,00%;N/A
EQIA11;3.703;R$ 0,45;N/A;R$ 38,6 mi;R$ 96,02;N/A;0,98
EQIN11;7.984;R$ 1,33;1,41%;R$ 138,4 mi;R$ 95,28;1,65%;0,98
EQIR11;107;R$ 1,04;1,10%;R$ 51,2 mi;R$ 101,97;1,27%;0,98
ERCR11;1;R$ 2,96;0,00%;R$ 167,1 mi;R$ 70.317,64;0,00%;1,08
ERPA11;1;R$ 0,23;0,24%;R$ 57,8 mi;R$ 115,40;0,24%;1,10
